,mean_fit_time,mean_score_time,mean_test_score,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_delta_step,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
10,2727.933961,204.4729052,-2.281373194,0.964451178,0.72472245,1.04E-05,0.089664443,15,48,5,84,0.008038676,5.62E-05,4.30E-06,0.136685243,"{'colsample_bylevel': 0.9644511777688682, 'colsample_bytree': 0.7247224495708893, 'gamma': 1.0366613056734887e-05, 'learning_rate': 0.08966444335786874, 'max_delta_step': 15, 'max_depth': 48, 'min_child_weight': 5, 'n_estimators': 84, 'reg_alpha': 0.008038676424109636, 'reg_lambda': 5.618589118606359e-05, 'scale_pos_weight': 4.299281985933982e-06, 'subsample': 0.13668524253181596}",1,-2.283211461,-2.280009501,-2.280898487,20.86605833,6.131467716,0.001349616
11,574.8216778,116.2001757,-2.37036,0.569116204,0.047073907,1.00E-09,0.076726388,2,50,5,80,0.000108248,5.039278426,129.6764483,0.758498361,"{'colsample_bylevel': 0.5691162043853095, 'colsample_bytree': 0.04707390663517274, 'gamma': 1e-09, 'learning_rate': 0.07672638776543901, 'max_delta_step': 2, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 80, 'reg_alpha': 0.00010824845192446875, 'reg_lambda': 5.039278425945304, 'scale_pos_weight': 129.67644828837734, 'subsample': 0.7584983611170336}",1,-2.371704422,-2.374224849,-2.365150432,7.24877797,1.392687262,0.003824606
12,606.6666996,172.2672645,-2.318072348,0.118054407,0.538220628,0.000649295,0.065970629,5,41,3,67,7.86E-09,6.06E-09,1.00E-06,0.377807332,"{'colsample_bylevel': 0.11805440703184755, 'colsample_bytree': 0.5382206282803063, 'gamma': 0.0006492946761088621, 'learning_rate': 0.0659706293010879, 'max_delta_step': 5, 'max_depth': 41, 'min_child_weight': 3, 'n_estimators': 67, 'reg_alpha': 7.864565663583273e-09, 'reg_lambda': 6.064654560249795e-09, 'scale_pos_weight': 1e-06, 'subsample': 0.37780733181461124}",1,-2.318110846,-2.318174047,-2.317932143,1.484921021,0.261115797,0.000102439
13,236.8165255,37.86140601,-2.306108651,0.218874216,0.536123113,0.346662998,0.24545235,8,6,1,51,0.013470214,4.42E-06,0.440090352,0.340971823,"{'colsample_bylevel': 0.21887421563997952, 'colsample_bytree': 0.5361231127045244, 'gamma': 0.346662997510614, 'learning_rate': 0.24545235040592758, 'max_delta_step': 8, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 51, 'reg_alpha': 0.013470214122870545, 'reg_lambda': 4.41827049728059e-06, 'scale_pos_weight': 0.4400903517638245, 'subsample': 0.34097182271416704}",1,-2.305512016,-2.310892477,-2.301921327,0.929106561,0.20830652,0.003686628
14,1502.290253,183.8764729,-2.762260171,0.392088093,0.966023216,5.24E-09,0.474196307,11,19,2,67,1,8.63E-07,500,0.641102598,"{'colsample_bylevel': 0.39208809321493543, 'colsample_bytree': 0.9660232157089996, 'gamma': 5.235529726298351e-09, 'learning_rate': 0.4741963072240634, 'max_delta_step': 11, 'max_depth': 19, 'min_child_weight': 2, 'n_estimators': 67, 'reg_alpha': 1.0, 'reg_lambda': 8.631859592399732e-07, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.6411025984086949}",1,-2.75936273,-2.765588442,-2.761829501,2.600542773,0.690188276,0.002559844
15,916.4243024,268.2938168,-3.64445319,0.031309661,0.681726215,0.002242464,0.826865594,18,38,4,100,0.000329706,2.32E-05,1.00E-06,0.466285184,"{'colsample_bylevel': 0.0313096612674174, 'colsample_bytree': 0.681726215395687, 'gamma': 0.002242464110901901, 'learning_rate': 0.8268655936406443, 'max_delta_step': 18, 'max_depth': 38, 'min_child_weight': 4, 'n_estimators': 100, 'reg_alpha': 0.00032970602466631926, 'reg_lambda': 2.3218301678495373e-05, 'scale_pos_weight': 1e-06, 'subsample': 0.46628518391605656}",1,-3.602318236,-3.607109236,-3.723937948,2.513445528,0.752906047,0.05623622
16,331.2770282,51.28072492,-2.27981412,0.253324568,0.644424461,0.005773765,0.229150233,16,6,4,71,1,0.000326803,2.18E-05,0.348909732,"{'colsample_bylevel': 0.2533245684141353, 'colsample_bytree': 0.64442446096034, 'gamma': 0.005773765398143834, 'learning_rate': 0.22915023321462258, 'max_delta_step': 16, 'max_depth': 6, 'min_child_weight': 4, 'n_estimators': 71, 'reg_alpha': 1.0, 'reg_lambda': 0.0003268025613246503, 'scale_pos_weight': 2.1831545032786056e-05, 'subsample': 0.3489097321975443}",1,-2.278825618,-2.28021684,-2.280399987,0.595047703,0.074997274,0.000702993
17,5002.486188,223.8410769,-2.204706153,1,1,0.5,0.185862147,0,50,5,86,1,60.12146057,1.00E-06,1,"{'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'gamma': 0.49999999999999994, 'learning_rate': 0.1858621466840661, 'max_delta_step': 0, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 86, 'reg_alpha': 1.0, 'reg_lambda': 60.121460571845695, 'scale_pos_weight': 1e-06, 'subsample': 1.0}",1,-2.204683478,-2.204009672,-2.205425339,20.03251769,3.16984407,0.000578158
18,364.7102485,63.40300552,-2.881878163,0.01,1,0.5,0.01,20,50,5,100,1.00E-09,1.00E-09,1.00E-06,0.01,"{'colsample_bylevel': 0.01, 'colsample_bytree': 1.0, 'gamma': 0.49999999999999994, 'learning_rate': 0.01, 'max_delta_step': 20, 'max_depth': 50, 'min_child_weight': 5, 'n_estimators': 100, 'reg_alpha': 1e-09, 'reg_lambda': 1e-09, 'scale_pos_weight': 1e-06, 'subsample': 0.01}",1,-2.883933984,-2.881003077,-2.880697254,2.496629118,0.274978704,0.001459096
19,754.8321501,178.303244,-2.228251396,0.157885992,0.688894334,0.000187882,0.207168827,17,13,4,95,1,1.337580796,3.28E-06,0.643652143,"{'colsample_bylevel': 0.15788599156593375, 'colsample_bytree': 0.6888943337055491, 'gamma': 0.0001878822166379967, 'learning_rate': 0.20716882654378663, 'max_delta_step': 17, 'max_depth': 13, 'min_child_weight': 4, 'n_estimators': 95, 'reg_alpha': 1.0, 'reg_lambda': 1.3375807962389141, 'scale_pos_weight': 3.277670167513178e-06, 'subsample': 0.64365214312566}",1,-2.228937053,-2.22552386,-2.230293316,1.125578693,0.837577098,0.002006555
